kabupaten,komoditas,tahun,produksi_ton,luas_panen_ha,produktivitas_ton_per_ha
Kab. Sumedang,Cabai Rawit,2020,4333.8330000000005,,
Kab. Sumedang,Cabai Rawit,2021,3107.73,,
Kab. Sumedang,Cabai Rawit,2022,3559.821,,
Kab. Sumedang,Cabai Rawit,2023,4259.3150000000005,,
Kab. Sumedang,Cabai Rawit,2024,6339.632,,
Kab. Tasikmalaya,Cabai Rawit,2015,5858.1,,
Kab. Tasikmalaya,Cabai Rawit,2016,3446.3,,
Kab. Tasikmalaya,Cabai Rawit,2017,24015.7,,
Kab. Tasikmalaya,Cabai Rawit,2018,3788.9,,
Kab. Tasikmalaya,Cabai Rawit,2019,2891.9,,
Kab. Tasikmalaya,Cabai Rawit,2020,2911.3,,
Kab. Tasikmalaya,Cabai Rawit,2021,2678.6040000000003,,
Kab. Tasikmalaya,Cabai Rawit,2022,2437.311,,
Kab. Tasikmalaya,Cabai Rawit,2023,2767.701,,
Kab. Tasikmalaya,Cabai Rawit,2024,3147.471,,
Kota Sukabumi,Cabai Rawit,2015,0.0,,
Kota Sukabumi,Cabai Rawit,2016,0.0,,
Kota Sukabumi,Cabai Rawit,2017,200.5,,
Kota Sukabumi,Cabai Rawit,2018,26.5,,
Kota Sukabumi,Cabai Rawit,2019,22.7,,
Kota Sukabumi,Cabai Rawit,2020,0.0,,
Kota Sukabumi,Cabai Rawit,2021,0.0,,
Kota Sukabumi,Cabai Rawit,2022,0.0,,
Kota Sukabumi,Cabai Rawit,2023,4.032,,
Kota Sukabumi,Cabai Rawit,2024,1.379,,
