date,province,regency,commodity,price_type_id,price_type,nominal_price,source_level,responder_name
2019-06-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-06-27,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-06-28,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-03,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-04,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-10,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-11,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-17,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-18,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-22,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-23,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-24,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,31350.0,kabupaten,
2019-07-25,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-07-26,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-07-29,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-07-30,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-07-31,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-01,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-02,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-05,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-06,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-07,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-08,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-09,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-12,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-13,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-14,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-15,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-16,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
2019-08-19,Jawa Barat,Kab. Cirebon,Cabai Merah Besar,4,Produsen,40000.0,kabupaten,
